breed,disease,severity,recommendation
Chihuahua,Hipoglucemia,Media,Alimentación regular
Chihuahua,Luxación de rótula,Media,Evitar saltos altos
Great Pyrenees,Displasia de cadera,Alta,Controlar peso corporal
Great Pyrenees,Torsión gástrica,Alta,Fraccionar comidas
Great Pyrenees,Osteosarcoma,Alta,Monitoreo veterinario continuo
German Shorthaired,Displasia de cadera,Alta,Ejercicio moderado y control veterinario
German Shorthaired,Torsión gástrica,Alta,Evitar ejercicio después de comer
German Shorthaired,Epilepsia,Media,Seguimiento neurológico
Beagle,Obesidad,Alta,Control estricto de dieta
Beagle,Epilepsia,Media,Monitoreo veterinario
Beagle,Hipotiroidismo,Media,Exámenes hormonales periódicos
Staffordshire Bull Terrier,Alergias cutáneas,Media,Evitar alérgenos comunes
Staffordshire Bull Terrier,Displasia de cadera,Media,Monitorear movilidad
Staffordshire Bull Terrier,Cataratas,Media,Revisiones oftalmológicas
English Cocker Spaniel,Infecciones de oído,Alta,Limpieza frecuente de orejas
English Cocker Spaniel,Cataratas,Media,Controles oftalmológicos
English Cocker Spaniel,Problemas cardíacos,Media,Chequeos veterinarios
New Found Land,Displasia de cadera,Alta,Evitar sobrepeso
New Found Land,Problemas cardíacos,Alta,Monitoreo cardíaco constante
New Found Land,Torsión gástrica,Alta,Fraccionar comidas
Pomeranian,Colapso traqueal,Alta,Evitar collares ajustados
Pomeranian,Problemas dentales,Media,Higiene oral frecuente
Pomeranian,Luxación de rótula,Media,Evitar saltos bruscos
Leonberger,Displasia de cadera,Alta,Controlar actividad física
Leonberger,Osteosarcoma,Alta,Monitoreo veterinario frecuente
Leonberger,Problemas cardíacos,Alta,Chequeos cardíacos regulares
American Pit Bull Terrier,Alergias cutáneas,Media,Control dermatológico frecuente
American Pit Bull Terrier,Displasia de cadera,Media,Evitar obesidad
American Pit Bull Terrier,Hipotiroidismo,Media,Exámenes hormonales
Wheaten Terrier,Enfermedad renal,Alta,Monitoreo renal constante
Wheaten Terrier,Alergias cutáneas,Media,Evitar irritantes ambientales
Wheaten Terrier,Problemas digestivos,Media,Dieta controlada
Japanese Chin,Problemas respiratorios,Alta,Evitar ejercicio intenso en calor
Japanese Chin,Problemas cardíacos,Media,Chequeos veterinarios frecuentes
Japanese Chin,Luxación de rótula,Media,Evitar superficies resbalosas
Samyod,Displasia de cadera,Alta,Control de peso y actividad
Samyod,Diabetes,Media,Control alimenticio
Samyod,Problemas oculares,Media,Revisiones oftalmológicas
Scottish Terrier,Cáncer de vejiga,Alta,Controles veterinarios preventivos
Scottish Terrier,Alergias cutáneas,Media,Monitoreo dermatológico
Scottish Terrier,Problemas hepáticos,Media,Exámenes de sangre periódicos
Shiba Inu,Alergias cutáneas,Media,Evitar alimentos irritantes
Shiba Inu,Luxación de rótula,Media,Monitorear movilidad
Shiba Inu,Glaucoma,Alta,Controles oftalmológicos frecuentes
Pug,Síndrome braquicefálico,Alta,Evitar calor extremo y ejercicio intenso
Pug,Problemas respiratorios,Alta,Monitorear respiración constantemente
Pug,Obesidad,Media,Control nutricional estricto
Saint Bernard,Displasia de cadera,Alta,Evitar sobrepeso
Saint Bernard,Torsión gástrica,Alta,Fraccionar alimentación diaria
Saint Bernard,Problemas cardíacos,Alta,Monitoreo veterinario frecuente
American Bulldog,Displasia de cadera,Alta,Controlar peso corporal
American Bulldog,Problemas respiratorios,Media,Evitar ejercicio excesivo en calor
American Bulldog,Alergias cutáneas,Media,Monitoreo dermatológico
Yorkshire Terrier,Colapso traqueal,Alta,Evitar collares ajustados
Yorkshire Terrier,Problemas dentales,Alta,Higiene oral frecuente
Yorkshire Terrier,Hipoglucemia,Media,Alimentación balanceada
